# ACTS Test Suite Generation: Fri Feb 26 14:12:40 PST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 16
# Maximum number of values per parameter: 5
# Number of configurations: 21
IsInputArgumentProvided,DoesInputFileExist,IsInputFileValidXML,IsOutputArgumentProvided,DoesOutputFileExist,IsTagArgumentProvided,DoesTagExist,IsDelimeterArgumentProvided,IsLimitArgumentProvided,LimitSize,IsIgnoreArgumentProvided,IsBufferArgumentProvided,IsEncodingArgumentProvided,IsEncodingValid,DoesIgnoreTagExist,BufferSize
false,false,false,false,false,false,false,false,true,0,false,true,false,false,false,0
true,true,true,true,true,true,true,true,true,0,true,true,true,true,true,500
false,false,false,true,true,true,false,true,true,0,false,false,true,false,false,1000
true,false,false,false,false,true,true,false,true,0,true,true,false,false,true,2000
true,true,true,false,false,false,false,true,true,1,false,true,true,true,false,0
false,false,false,true,false,false,false,false,true,1,true,true,false,false,true,500
true,true,true,false,false,true,true,false,true,1,false,false,false,false,false,1000
false,false,false,true,true,false,false,true,true,1,false,true,false,false,false,2000
true,true,false,true,true,true,true,false,true,3,true,true,true,true,true,0
false,false,false,false,false,false,false,true,true,3,false,true,false,false,false,500
true,true,true,true,true,false,false,false,true,3,true,false,true,true,true,1000
true,true,true,false,false,true,true,false,true,3,true,true,true,true,false,2000
true,false,false,true,true,true,true,false,true,4,true,true,true,true,false,0
false,false,false,false,false,false,false,true,true,4,false,true,false,false,false,500
true,true,true,false,false,true,false,false,true,4,true,false,false,false,true,1000
false,false,false,false,false,true,true,true,true,4,true,true,true,true,false,2000
true,false,false,true,true,true,true,false,false,-1,true,true,true,false,true,0
false,false,false,false,false,false,false,true,false,-1,false,true,false,false,false,500
true,true,true,false,false,false,false,false,false,-1,true,false,true,true,true,1000
true,true,false,true,true,true,false,true,false,-1,false,true,false,false,false,2000
true,false,false,true,false,true,false,false,true,-1,true,true,false,false,false,1000
